ID-ES,TERM-ES,,ID,TERM,Qualifier,,FINAL DEFINITION,BIBLIOGRAPHY,SYNONYMS,Observations,"OTRAS OBSERV
"
388,Urdimbre base,,388,Main warp,,,It refers to the main or principal or only warp in a textile.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
389,Efecto de urdimbre,,389,Pattern warp,,,It refers to a supplementary warp to the main one that creates a pattern or texture in floats above a grund fabric.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
390,Urdimbre de fondo,,390,Ground warp,,,"It refers to the main warp in lampas, but its use is not recommended by CIETA.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
391,Urdimbre de ligadura,,391,Binding warp,,,It refers to a secondary warp that binds weft floats. ,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
475,Urdimbre de mecha,,475,Wadding warp,,,A thick warp insert into a textile to produce relief and give more weight.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
474,Urdimbre de pelo,,474,Pile warp,,,It refers to a supplementary warp which forms a pile above a ground weave.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
392,Urdir,,392,Warp,"technique 
",,"n. From the Old English ""wearp"" and Middle English ""werpe"" ""worp"" ""warpe"". The action of preparing the warp for the loom.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
393,Vellutero,,393,Velvet weaver,,,"It refers to the person who weaves the velvet, or the master silk weaver. ",,,,
394,Verdeceledón,,394,Celadon,,,"n. From the French ""céladon"". It is a dye, a colour, of a pale greyish shade of green resembling that of the willow.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
395,Zarzahán,,395,Zarzahán,,,"n. A term in Spanish, meaning a fine arab textile in a tabby weave used in the Muslim period in Spain.",,,,
477,Camino,,477,Comber unit,,,It refers to the pattern unit produced in the textile by the monture.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
478,Baba,,478,Bave,,,"It denotes the natural silk thread spun by the silkworm when it is making its cocoon. Two twin filaments, called brins, are cemented together by gum sericin, emitted by the silkworm.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",cocoon filament,,
,,,,,,,,,,,
,,,,,,,,,,,
481,Urdidor,,481,Warping mill,object,,"It refers to frame of rods or crossed wooden slats, which rotates around a vertical and fixed axis on one foot, so that, placed on it, the skeins of the yarn can be easily wound.",,warping frame,,
482,Sarga compuesta,,482,Composite twill,,,It denotes any twill in which more than one twill binding is used within the weave.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
483,Título,,483,Count,,,"n. From the Old French ""conte"" Middle English ""counte"" ""cownte"" ""cownt"" among other forms. It expresses the thread size, relating length and weight. ","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
484,Denier,,484,Denier,,,"n. From the Old French ""dener"" ""denier"" and the Middle English ""denere"" ""deneir"" ""deneere"" among other forms. It is a unit of size, unit of weight, of continuous filament threads. ","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press; Oxford; New York: Oxford University Press, 1989. [www.oed.com]",,,
485,Cabo,,485,End,,,"n. n. A term inherited from Germanic. From the Old English ""ende"" and Middle English ""aend"" ""aende"" ""eende"". It designates an individual thread in making a plied thread.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
,,,,,,,,,,,
487,Filamento,,487,Brin,,,n. Each one of the twin silk filaments emitted by the silkworm when it makes the cocoon.,"CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
488,Lino,,488,Flax,,,"n. A term inherited from Germanic. From the Old English ""fleax"" and the Middle English ""vlexe"" ""flexe"" ""flaxe2 among other forms. It refers to the bast fiber obtained from the stem of the plant ""linum usitatissimum"". Linen textile or fabric is done with this fiber. ","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com] Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
489,Lustrado,,489,Glazed,,,"adj. Formed with the verb ""glaze"" plus the suffix ""-ed"". It denotes the smooth and glossy surface of a fabric, resulting of the application of heat, heavy pressure, chemical action or any glazing surface. ","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
490,Gobelino,,490,Gobelin,,,"n. A term borrowed from the French ""gobelins"" ""Manufacture des Gobelins"". The term takes its name fro the great tapestry-weaving centres of Europe, Gobelins. The term is generally used to refer to the pictorical tapestry-woven hangings, characterized by their details. Also, in old literature it is found and referred to a tapestry technique.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford; New York : Oxford University Press, 1989. [www.oed.com]; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
,,,,,,,,,,,
492,Telar manual,,492,Hand loom,,,"Those looms that need a person to be operated and are not supplied of power, even those with Jacquard attatchement.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
493,Intervalo,,493,Interruption,,,"n. From the Latin ""interruptiōn-em"". A noun from the action of ""interrupĕre"". In satin weaves, it refers to the number of ends between the adjacent binding points of successive picks. In regular satins, the interrumption is constant, on the contrary, in irregular satins it is variable.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com];  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
494,Ligamento ligero,,494,Light lift,,,It refers to the raising of the minimum number of ends or shafts required by a binding system.,"CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
495,Plomo,,495,Lingo,,,"n. It might be a borrowing from the Latin ""lingua"". A historical term that refers to the small weight, typically elongated in shape or made from a length of heavy wire, suspended from the loop or heddle through which each warp end passes, that is, on the lower en of the leash in a drawloom.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
496,Losange,,496,Lozenge twill,,,"From the French ""losenge"" ""losange"" and the Middle English ""losenge"" ""losinge"" among others. It denotes any form of twill whose diagonal direction is formed by the binding points is reversed over groups of ends, and also over groups of picks, to produce lozenges.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com];  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
497,Hilo metálico,,497,Metal thread,,,It denotes any thread that has a metal or metallic component in part or entirely.,"CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.","metallic thread, metal filaments, metals threads, thread metal ",,
498,Falla de urdimbre,,498,Missing end,,,"When a warp end is absent, usually through breakage resulting in a fault in the textile.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
499,Falla de trama,,499,Missing weft,,,It is a fault which results from the omission of one or more picks.,"CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
500,Falla de calada,,500,Lardure,,,n. Weaving defect caused by the poorly driven or pulled shuttle before the draft is conveniently opened.,"CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964.",,,
501,Hilo torcido,,501,Plied yarn,,,"It refers to the yarn that is composed by two or more yarns that have been spun or twisted, united by twisting also. The direction of the twist is, normally, the opposite of the one in the individual ends.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
,,,,,,,,,,,
503,Portada,,503,Portee,,,It refers to the carrying together of a group of warp threads in the stretching of a warp.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
504,Telar mecánico,,504,Power loom,,,"n. Formed by compounding within English. It refers to any weaving loom driven by mechanical power (such as water, steam, electricity) rather than by hand. This is the standard form of loom used in the commercial production of fabrics.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
,,,,,,,,,,,
506,Reversible,,506,Reversible,,,adj. A textile that has both face and reverse usable. It could be that both sides of the textile are identical. ,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
507,Tela a dos caras,,507,Tela a dos caras,,,"n. A reversible fabric, with both sides usable, but, even those sides are equally good, they are not identical.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
508,Tisú,,508,Tissue,,,"n. From the Old French ""tistre"" that comes from the Old Latin ""texĕre"". From previous forms in English as ""tyssu"" ""tissewe"" ""tyssew"" among others. A rich cloth, which could be interwoven with gold or silver.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
,,,,,,,,,,,
510,Estilo ferronerie,,510,Ferronerie Style,,,It refers to a style in textile production consisting of a motif of arabesques or scrolls resembling ornamental ironwork.,"Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
511,Alluciolato,,511,Alluciolato,,,It refers to a gold boucle velvet with metal weft loops.,,,,
512,Atributos según técnica de tejido,,512,Weaving technique features,,,It refers to the physical features of a textile or fabric that arise from the weaving technique which has been used to make the fabric.,,,,
513,Tejidos determinados por su origen geográfico ,,513,Geographic featured textiles,,,"It describes the way a fabric or textile has been created, the weaving process, the fibers and the tools used, that, in sum, could be known by the denomination of their origin. ",,,,
514,Raso irregular,,514,Irregular satin,,,"n. A type of satin, done with unequal spacing of the binding points. It must be expressed at length, but defined by the number of ends in the weave unit and by the interruption. ","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
515,Raso reina,,515,Queen satin,,,"n. The term is used in Spanish, referring to a type of irregular silk cloth of six interlaces. ","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
,,,,,,,,,,,
,,,,,,,,,,,
518,Aceituní,,518,Aceituní,colour,,A term in Spanish to refer to an olive colour.,"Roberts A., Edward. A Comprehensive Etymological Dictionary of the Spanish Language with Families of Words Based on Indo-European Roots. Bloomington: Xlibris, 2014.",olive-coloured,,
519,Camino,,519,Comber unit,object,,"It denotes the section of the comber board, necking cords and leashes of a drawloom that controls one pattern unit in the width of a figured textile.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
,,,,,,,,,,,
521,Cartonaje,,521,Tablet weaving,,,"When in Jacquard looms, it refers to a set of perforated tablets, linked as endless tape, that adapt to the Jacquard machine and determine the movement of the needles, deciding which will move and which will not, facilitating the raising or resting of the threads of warp to be taken or left, to weave a particular design. The tablet is done according to a previous sketch and put into letter. Over time the cartons have evolved in their physical form from cardboard, to continuous paper and finally to digital support.","Roberts A., Edward. A Comprehensive Etymological Dictionary of the Spanish Language with Families of Words Based on Indo-European Roots. Bloomington: Xlibris, 2014","tablets, lams, treadles ",,
,,,,,,,,,,,
523,Telar de alto lizo,,523,High-warp loom,,,"It refers to those early high-warp looms in which the warps were attached to a beam at the top, and groups of warp threads were weighted at the bottom. The weft was beaten up (i.e., pushed) toward the top as the weaving progressed. High-warp looms of this type are pictured on ancient Greek vases. In later high-warp looms the vertical frame has heavy uprights holding a horizontal roller at top and bottom, on which the warps are stretched. Each warp passes through a loop of cord (the lisses), and the loops encircling the warps that correspond to uneven numbers are fastened to one slender cylinder; those to the even-numbered warps are fastened to another cylinder. Both cylinders are above the weaver but within reach so that he can pull forward first with one, then with the other set of warps (i.e., form the shed) in order to pass his bobbin behind them. The bobbin (broche) is a short, pointed, slim cylinder of polished wood on which the weft yarn is wound.","Encyclopaedia Britannica, 8th ed., s.v. “Internet.” Chicago: Encyclopaedia Britannica, 2009. [https://www.britannica.com]",,,
524,Telar de bajo lizo,,524,Low-warp loom,,,"In the low-warp loom, it has the rollers on the same level at table height so that the warps stretched between them are horizontal. To leave the weaver’s hands free, the warps are attached to two slats, or poles, each of which is connected with a treadle so that the weaver’s foot depresses the odd-numbered or even-numbered series of warps to form a passageway for the bobbin, called a shuttle on the low-warp loom. The cylinders in both instances serve to roll up the finished portion and unroll a further length of unwoven warps so that the section in process is always taut and in a convenient relation to the weaver. At both types of loom the weaver works from the back side, that is, he weaves the tapestry on the wrong side. He has, however, a hand mirror, which he puts through the unwoven warps holding it to reflect the right side of the portion in process. While the high-warp weaver can examine his finished work directly by walking around to the other side of his loom, the low-warp worker has to tilt up his frame.","Encyclopaedia Britannica, 8th ed., s.v. “Internet.” Chicago: Encyclopaedia Britannica, 2009. [https://www.britannica.com]",,,
525,Telar de lizos,,525,Shaft loom,,,"It refers to a type of loom that has shafts to raise and lower the warp ends, to form a shed for the passage of the shuttle. Those shafts may be suspended from above in counterbalance.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
526,Tisaje,,526,Weaving,,,"v. The action of building a fabric, the action of weaving fabric.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Campbell, Gordon. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010.",woven,,
527,Devanar,,527,Spool,"technique 
",,v. To wind thread or yarn on spools.,"Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
,,,,,,,,,,,
529,Rayón,,529,Rayon,,,n. Formed by compounding within English. It denotes any fibres and filaments made from regenerated cellulose. Also called artificial silk. From Rayon®.,"Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
530,Torcer,,530,Ply,,,v. To twist diverse ends of a single yarn to make it thicker.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",twist,,
,,,,,,,,,,,
532,Muselina tornasol,,532,Tornasol muslin,,,"n. In Spanish, a type of muslin with the warp in one colour and the weft in another colour.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
533,Nobleza,,533,Nobleza,,,"n. A term in Spanish to denote the brocatelle in which the warp, if it is on the figure, weaves a cannelé on some part of it, so the result is a richer figure with a new effect.",,,,
534,Pana,,534,Corduroy,,,"n. Apparently a term of English invention. It refers to acoarse, weft-pile weave but with a thich-ribbed cut pile. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com];  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
535,Pana de seda,,535,Velveteen,,,"n. Hence the French ""velvetine"". It refers to a weft-pile weave with a solid cut pile.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
536,Paño de seda,,536,Silk cloth,,,"It refers to a strong silk fabric for trousers, vests, etc., of good quality and with a lot of luster. They are woven with organzine and thick weft and with great density in both elements, with weaves and variable structure. In all the weft dominates, which produce a very intense shine.",,,,
537,Pasamanería ,,537,Passementerie,,,"n. A termn borrowed from the Frenc ""passementerie"". It refers to the elaborately and decorative and often sumptuous trimming consisting of braids, tassels, gimps, etc., variously made from silk, linen, wool, cotton, and silver and gold thread, etc., popularized by French designs in the 17th cent.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com];  Phipps, Elena. Looking at Textiles. A guide to technical terms. Los Angeles: Getty Publications, 2011.",,Trimming/Haberdashery,
,,,,,,,,,,,
539,Raso de Lyon,,539,Satin de Lyon,,,"As serving as trade names for certain textile fabrics, this type of satin takes its name from the city of Lyon. It is a silk satin made with a twilled back and finely striped face, used mainly for lining.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]; Kolanjikombil, Mathews. Encyclopaedic Dictionary of Textile Terms. [Place of publication not identified] WOODHEAD Publishing INDIA, 2018",,,
540,Polonesa,,540,Polonaise,,,"n. A borrowing from the French ""polonaise"". Historically has meant a woman's dress which consists of a tight, unboned bodice and a skirt open from the waist downwards to reveal a decorative underskirt.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",robe à la polonaise,,
541,Pongis,,541,Pongee,,,"n. A borrowing from the Chinese ""běnjī"". It is a soft, usually unbleached kind of Chinese silk fabric, woven from uneven threads of raw silk in tabby.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press; Oxford; New York: Oxford University Press, 1989. [www.oed.com]",,,
,,,,,,,,,,,
543,Popelín,,543,Poplin,,,"n. A term borrowed from the French ""papeline"". A fabric made in tabby with a fine horizontal rib, produced by weaving with a warp thread finer than the weft.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford; New York: Oxford University Press, 1989. [www.oed.com]",,,
544,Popelín de seda,,544,Silk poplin,,,"A type of poplin fabric in tabby weave, with hard silk and floss. Sometimes it is decorated with stripes.",,,,
545,Popelín de Irlanda,,545,Irish Poplin,,,"A type of poplin fabric, with silk warp and worsted weft, produced or manufactured in Ireland","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford; New York: Oxford University Press, 1989. [www.oed.com]",,,
546,Puntilla,,546,Puntilla,,,A term in Spanish to denote a little and denticulated type of lace.,"Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford; New York : Oxford University Press, 1989. [www.oed.com]; Phipps, Elena. Looking at Textiles. A guide to technical terms. Los Angeles: Getty Publications, 2011. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",,,
547,Radamés,,547,Radames,,,"n. It refers to a strong, lustrous silk or silk and cotton fabric, made in a twill or satin weave interlaced to give an indefinite twill line. It is made in medium weights and piece dyed and usually used for dresses or linings.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",rhadames,,
548,Radiados,,548,Dice-cloth,,,"It refers to the weavings which are obtained on the basis of a specific motif, drawing it, without modifying it, in four different positions by turning, or drawing it, modified, without making it rotate.",,,,
549,Rádium,,549,Radium,,,"n. A term borrowed from the French ""radium"". It refers to a plain, supple, manufactured silk fabric (or synthetic yarn) generally made with filling yarns containing extra twist to give the fabric cripness and draping qualities. Used mainly for draperies, lingerie and linings.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford; New York : Oxford University Press, 1989. [www.oed.com]",radium taffeta,,
550,Rasete,,550,Satinet,,,"n. A term, probably, from the French ""satinette"". It refers to a fabric similar to satin, but thinner and lightwright. Woven in silk, or in silk combined with cotton or synthetic fibre. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press; Oxford; New York: Oxford University Press, 1989 [www.oed.com]; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",satinette,,
551,Raso compuesto,,551,Stitched sateen,,,"It refers to those derived satin fabrics in which the ligaments are obtained by adding a series of points that form ornamental motifs, either regular or irregular.",,,,
552,Raso de cuatro,,552,Fourth-end-sateen,,,"It designates the ligament which produces within the course of 4 threads and after the greatest dissemination of its 4 ligature points of the fundamental step. It has many applications in cotton and silk fabrics, as well as high density and strength. Very used for Jacquard drawings when combinations of ligaments or effects of various wefts and warps are made.",,,,
553,Recamado,,553,Embroidered,attribute,,It refers to any enhancement of the fabric or textile done by embroidery.,,,,
554,Raso duquesa,,554,Duchesse,,,"n. From the French ""duchess"". It refers to avery soft and heavy kind of satin. Highly lustrous, smooth silk or rayon fabric with a large number of ends per inch, made with an 8- to 12-end warp satin weave, and dyed in solid colours.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford; New York: Oxford University Press, 1989. [www.oed.com]",duchess satin,,
555,Raso Liberty,,555,Liberty satin,,,"It is a comercial denomination for an English seven-, eight-, or ten-harness satin fabric made of raw silk warp and singles, spun silk filling.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015. Simpson, John; Weiner, Edmund (eds).",,,
556,Reps,,556,Rep,,,"n. A term that is a variant or alteration of other lexical item. It refers to a plain-weave fabric, usually made of wool, silk, or cotton, with a surface with closely spaced narrow ribbs, used for draperies and upholstery, especially.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015. Simpson, John; Weiner, Edmund (eds).",,,
,,,,,,,,,,,
,,,,,,,,,,,
559,Sarga romana,,559,Roman Twill,,,n. A type of twill which consists of an evolution of a basic twill.,,,,
600,Sarga interrumpida,,600,Cross twill,,,It refers to a broad range forms of twill weaves in which the diagonal lines have been deliberately broken. ,"CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015. Simpson, John; Weiner, Edmund (eds).",broken twill,,
601,Sarga satina,,601,Satina twill,,,"It refers to a variant of cross twill, whose groove presents interruptions or changes of direction to every two weave points.",,,,
602,Sombreados,,602,Hatched,,,"It refers to the shaded effect, achieved by using alternating weft threads of different colours or tones.",,,,
,,,,,,,,,,,
604,Tafetán doble,,604,Marceline,,,"n. A term, historical, borrowed from the French ""marceline"". It denotes a taffeta-silk fabric, especially used for dress linings. Its threads, crossing in groups in a two-pass report, are individually introduced in the meshes of the heights so that they are fixed exactly and parallel in their crosses with the weft. The result is a grain fabric somewhat more pronounced than plain taffeta.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
,,,,,,,,,,,
606,Tafetán listado,,606,Striped taffeta,,,"It is the denomination for those striped fabrics, with plain weave or tabby weave, which are obtained combining colors or threads of different materials.",,,,
,,,,,,,,,,,
608,Tapiz,,608,Tapestry,,,"n. From previous forms as in Middle English ""tapstery"" ""tapestrye"" ""tapistry"" among others. It refers to a A textile fabric decorated with designs of ornament or pictorial subjects, painted, embroidered, or woven in colours, used for wall hangings, curtains, covers for seats, to hang from windows or balconies on festive occasions, etc. It is such a decorated fabric, in which a weft containing ornamental designs in coloured wool or silk, gold or silver thread, etc., is worked with bobbins or broaches, and pressed close with a comb, on a warp of hemp or flax stretched in a frame. Often loosely applied to imitative textile fabrics.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
609,Tapiz de bajo lizo,,609,Low-warp tapestry,,,"Appliying this technique, the warp is horizontal, two hedges that split the warp into two series, are set in motion by two pedals and the letter or model is fixed on the warp.",,,,
610,Tercianela,,610,Tercianela,,,"n. A term from the Italian ""terzanella"". It refers to a silk fabric, made in plain weave. It is a modification of the gros of Naples with the thickest plot, usually 3 to 5 ends; therefore, it forms a more pronounced cordon than in the gros.",,,,
611,Terciopelo liso,,611,Plain velvet,,,"It refers to a velvet fabric made with two warps, one ground and one pile warp. The pile warp is uniform and does not reveal the ground warp, therefore it has no decoration.",,,,
612,Terciopleo  Gregoire,,612,Gregoire Velvet,,,"It refers to a decorated velvet, by a mixed painting and stamping procedure devised by Grégoire, born in Aix-en-Provence, in 1751 who lived in Paris and died in 1846; He never revealed the secret of his delicate manipulations. It seems that this velvet was manufactured by previously painting the pile warp. Naturally, the drawing that was to be depicted in it was lengthened in the necessary proportion so that, once woven, this warp that constituted the pile of the fabric was left to the convenient proportion. The secret was not only in this process, but also in the colours used, of an unequaled sweetness and brightness.",,,,
